,Name,eval/overall_suc,agent.agent_name,env_name,State,Runtime,Created,agent.subgoal_steps,seed,time/epoch_time,evaluation/task1_success,evaluation/task2_success,evaluation/task3_success,evaluation/task4_success,evaluation/task5_success,time/total_time,eval_temperature
2,sd005_20251116_112018,0.936,hiql,humanoidmaze-medium-navigate-v0,finished,20957,2025-11-16T02:20:20.000Z,100,5,0.008929806423187256,0.96,0.98,0.92,0.86,0.96,20087.073130369183,0
1,sd006_20251116_015801,0.892,hiql,humanoidmaze-medium-navigate-v0,finished,7263,2025-11-15T16:58:02.000Z,100,6,0.0035434163570404052,0.92,0.96,0.9,0.72,0.96,6970.880274772644,0
2,sd003_20251115_213634,0.932,hiql,humanoidmaze-medium-navigate-v0,finished,20400,2025-11-15T12:36:36.000Z,100,3,0.008694123363494873,1,1,0.8,0.86,1,19547.763466358185,0
1,sd004_20251115_212409,0.864,hiql,humanoidmaze-medium-navigate-v0,finished,7464,2025-11-15T12:24:11.000Z,100,4,0.003445068311691284,0.94,0.94,0.74,0.74,0.96,6985.408179283142,0
2,sd002_20251115_063254,0.888,hiql,humanoidmaze-medium-navigate-v0,finished,21724,2025-11-14T21:32:55.000Z,100,2,0.008641790628433227,0.96,1,0.86,0.7,0.92,20725.693453788757,0
2,sd001_20251114_222944,0.916,hiql,humanoidmaze-medium-navigate-v0,finished,22304,2025-11-14T13:29:46.000Z,100,1,0.00873144874572754,0.94,0.98,0.9,0.8,0.96,21292.055297613144,0
1,sd004_20251116_092630,0.120,hiql,humanoidmaze-giant-navigate-v0,finished,13260,2025-11-16T00:26:32.000Z,100,4,0.0032644251346588137,0.2,0.2,0.14,0,0.06,12387.564759016035,0
1,sd003_20251116_053157,0.152,hiql,humanoidmaze-giant-navigate-v0,finished,14067,2025-11-15T20:31:58.000Z,100,3,0.003468522071838379,0.14,0.4,0.18,0.02,0.02,13135.951072692871,0
1,sd002_20251116_014148,0.044,hiql,humanoidmaze-giant-navigate-v0,finished,13803,2025-11-15T16:41:49.000Z,100,2,0.0030726180076599123,0,0.16,0.04,0,0.02,12858.693222284315,0
1,sd001_20251115_221403,0.064,crl,humanoidmaze-giant-navigate-v0,finished,12459,2025-11-15T13:14:04.000Z,,1,0.0023303842067718505,0,0.24,0,0.08,0,11248.253551244736,0
2,sd001_20251114_223022,0.148,hiql,humanoidmaze-giant-navigate-v0,finished,53600,2025-11-14T13:30:23.000Z,100,1,0.008397069454193115,0.12,0.48,0.14,0,0,46547.98018145561,0
2,sd006_20251116_170942,0.408,hiql,humanoidmaze-large-navigate-v0,finished,26121,2025-11-16T08:09:44.000Z,100,6,0.008531261587142944,0.58,0.02,0.76,0.28,0.4,24597.461611270905,0
2,sd004_20251116_031642,0.468,hiql,humanoidmaze-large-navigate-v0,finished,25937,2025-11-15T18:16:43.000Z,100,4,0.008911123752593994,0.52,0.04,0.92,0.5,0.36,24458.699780225754,0
1,sd005_20251115_232840,0.484,hiql,humanoidmaze-large-navigate-v0,finished,8954,2025-11-15T14:28:41.000Z,100,5,0.0035192683696746827,0.66,0,0.96,0.5,0.3,8479.980761051178,0
1,sd007_20251115_193706,0.588,hiql,humanoidmaze-large-navigate-v0,finished,8751,2025-11-15T10:37:07.000Z,100,7,0.0031068599224090576,0.92,0,0.86,0.54,0.62,8288.7554936409,0
1,sd003_20251115_184813,0.464,hiql,humanoidmaze-large-navigate-v0,finished,9349,2025-11-15T09:48:15.000Z,100,3,0.0034097504615783693,0.64,0,0.86,0.36,0.46,8737.124605178833,0
2,sd002_20251115_044136,0.444,hiql,humanoidmaze-large-navigate-v0,finished,26851,2025-11-14T19:41:38.000Z,100,2,0.00838789896965027,0.64,0.02,0.84,0.32,0.4,25275.056791067123,0
2,sd001_20251114_223014,0.520,hiql,humanoidmaze-large-navigate-v0,finished,28954,2025-11-14T13:30:15.000Z,100,1,0.008580799150466919,0.66,0.02,0.92,0.56,0.44,25753.75728321075,0
